temp,humidity,dew,windspeed,windgust,hour,day,month,datetime
28.2,64,20.8,9.5,3.6,0,6,6,2025-06-06 00:00:00
27.9,64,20.5,11.2,3.6,1,6,6,2025-06-06 01:00:00
27.6,64,20.2,14.3,3.6,2,6,6,2025-06-06 02:00:00
27.4,64,20.0,13.5,2.9,3,6,6,2025-06-06 03:00:00
27.3,64,19.9,12.6,2.5,4,6,6,2025-06-06 04:00:00
25.7,71,20.0,13.8,5.0,5,6,6,2025-06-06 05:00:00
25.4,76,20.9,11.3,4.3,6,6,6,2025-06-06 06:00:00
27.4,70,21.5,9.9,9.0,7,6,6,2025-06-06 07:00:00
29.3,62,21.2,10.3,10.4,8,6,6,2025-06-06 08:00:00
31.2,56,21.4,9.8,10.1,9,6,6,2025-06-06 09:00:00
33.0,47,20.2,8.3,8.6,10,6,6,2025-06-06 10:00:00
34.3,41,19.1,10.3,6.1,11,6,6,2025-06-06 11:00:00
35.4,37,18.5,12.3,6.5,12,6,6,2025-06-06 12:00:00
36.0,35,18.2,5.4,9.7,13,6,6,2025-06-06 13:00:00
36.5,33,17.7,1.6,14.4,14,6,6,2025-06-06 14:00:00
36.6,30,16.2,4.0,17.3,15,6,6,2025-06-06 15:00:00
36.4,29,15.5,4.7,19.1,16,6,6,2025-06-06 16:00:00
35.6,32,16.4,4.3,19.1,17,6,6,2025-06-06 17:00:00
34.2,41,19.0,7.5,15.8,18,6,6,2025-06-06 18:00:00
32.7,49,20.6,14.5,7.2,19,6,6,2025-06-06 19:00:00
31.8,53,21.0,10.0,3.6,20,6,6,2025-06-06 20:00:00
31.4,50,19.7,12.2,1.4,21,6,6,2025-06-06 21:00:00
31.1,49,19.1,16.3,3.6,22,6,6,2025-06-06 22:00:00
29.2,58,20.1,18.7,6.1,23,6,6,2025-06-06 23:00:00
28.0,66,21.1,18.4,6.1,0,7,6,2025-06-07 00:00:00
27.5,68,21.1,16.4,6.5,1,7,6,2025-06-07 01:00:00
27.2,69,21.0,18.3,6.8,2,7,6,2025-06-07 02:00:00
26.9,69,20.7,19.7,6.8,3,7,6,2025-06-07 03:00:00
26.7,69,20.5,18.4,6.1,4,7,6,2025-06-07 04:00:00
26.4,69,20.3,15.4,5.0,5,7,6,2025-06-07 05:00:00
26.6,70,20.7,15.3,4.7,6,7,6,2025-06-07 06:00:00
28.5,71,22.7,19.7,3.2,7,7,6,2025-06-07 07:00:00
31.6,55,21.4,28.1,5.0,8,7,6,2025-06-07 08:00:00
33.9,44,20.0,29.5,7.9,9,7,6,2025-06-07 09:00:00
35.7,36,18.3,26.8,13.7,10,7,6,2025-06-07 10:00:00
36.8,34,18.3,25.1,14.0,11,7,6,2025-06-07 11:00:00
37.6,32,18.1,22.7,13.0,12,7,6,2025-06-07 12:00:00
38.1,31,18.0,23.2,14.0,13,7,6,2025-06-07 13:00:00
